,graphic novels,cartoons and comics,humorous stories,mystery fiction,stories in rhyme juvenile fiction,friendship fiction,schools fiction,comic books strips etc,fantasy fiction,dogs fiction,animals fiction,cats juvenile fiction,suspense fiction,magic fiction,stories in rhyme,historical fiction,mice juvenile fiction,domestic fiction,brothers and sisters fiction,psychological fiction,comics graphic works,friendship juvenile fiction,bears juvenile fiction,picture books,mystery and detective stories
200504,53,150,352,1700,354,191,302,52,200,190,240,21,184,61,201,169,94,520,108,192,,18,38,15,36
200505,980,491,1296,4206,1620,771,969,269,630,718,791,203,513,310,671,546,317,1092,274,836,,40,200,20,105
200506,2105,851,2519,5927,2283,1590,1957,604,1269,1677,1269,408,882,618,1355,952,470,1573,469,1223,,72,371,31,429
200507,722,488,1168,3021,923,637,769,272,805,751,514,129,437,178,612,392,193,889,223,654,,21,181,17,130
200508,863,434,1341,3491,1195,800,1036,185,864,758,653,226,465,315,690,415,306,1130,222,801,,39,166,21,93
200509,1105,554,1524,4601,2253,944,1306,298,1212,1242,918,377,798,394,974,670,403,1396,354,1043,,36,290,33,193
200510,1631,625,1873,5266,2861,1261,1664,312,1275,1516,1185,490,804,389,1319,716,490,1582,367,1104,,41,377,38,236
200511,1219,601,2002,4815,2720,1229,1580,351,1518,1524,1343,353,968,438,1283,639,551,1602,422,1077,,37,363,38,230
200512,1607,608,1355,4817,1677,779,1123,379,1423,1095,903,242,966,370,792,711,417,1480,294,1134,,31,359,30,116
200601,1869,555,1655,4872,2467,1343,1573,212,1459,1514,1174,416,1050,393,1131,746,467,1593,403,1196,,72,385,33,165
200602,1571,514,1478,4050,2023,1088,1180,252,1120,1123,1036,319,966,296,873,608,337,1457,277,985,,40,324,32,189
200603,2953,534,1770,5696,2539,1302,1518,421,1453,1617,1281,408,1216,536,1292,972,498,1736,440,1336,,50,299,36,270
200604,1831,490,1595,4739,1945,1001,1322,224,1239,1245,1000,331,1067,427,996,833,416,1413,376,1038,,47,308,24,135
200605,1348,384,1304,4559,1938,967,1022,197,997,1051,814,226,1090,423,790,837,379,1330,345,1003,,42,252,38,144
200606,2396,468,2093,5117,2112,1450,1626,325,1443,1437,1119,385,1222,671,903,1005,502,1863,473,1193,,49,302,23,395
200607,3417,697,2808,6218,2639,1660,2273,314,1716,1939,1276,381,1332,674,1252,1132,593,1887,585,1248,,99,339,39,469
200608,4027,743,2709,6626,2928,1860,2500,437,1769,1934,1251,481,1492,761,1335,1144,542,1980,601,1271,,74,348,43,418
200609,2770,624,2161,5252,3090,1455,1885,222,1455,1742,1196,492,1391,532,1111,1016,542,1647,559,914,,50,323,27,189
200610,2861,697,2563,4811,3346,1238,1725,301,1323,1647,1349,525,1312,616,1273,879,548,1499,555,917,,75,366,36,247
200611,2079,760,2442,4921,2983,1251,1624,249,1340,1693,1281,399,1426,618,1246,950,580,1537,635,914,,62,419,39,226
200612,1847,685,1593,4663,1455,747,911,235,1083,837,778,214,1439,497,630,693,329,1233,406,718,,24,282,25,91
200701,2435,656,2093,5036,2693,1150,1463,231,1214,1586,1184,379,1641,461,1138,899,450,1386,568,994,,66,343,36,295
200702,2129,929,1825,4483,2325,1090,1296,223,976,1392,1031,390,1435,579,891,748,387,996,409,858,,47,295,27,143
200703,3902,1013,2213,5465,2902,1425,1593,335,1331,1706,1203,513,1744,584,1257,999,553,1345,692,1006,,42,335,39,236
200704,4834,1053,1978,4870,2521,1343,1327,344,1323,1527,1109,345,1523,591,987,837,513,1271,556,918,,73,299,36,193
200705,5761,1073,1968,5432,2397,1073,1385,202,1482,1417,1066,410,1570,640,952,925,428,1238,531,894,,47,297,25,167
200706,6501,1145,2952,6247,2831,1682,1998,365,1961,1940,1262,446,1739,782,1233,1006,629,1517,610,1033,,73,396,31,433
200707,6938,1150,2900,5865,2983,1599,1914,300,1975,1989,1230,574,1804,866,1204,951,607,1551,658,946,,108,448,21,465
200708,7488,1224,2797,6833,3100,1526,2341,339,2110,1881,1123,470,1974,746,1290,1080,593,1728,634,1018,,94,455,40,317
200709,4499,826,2289,5571,3370,1475,1782,333,1638,1802,1193,511,1817,636,1026,901,573,1313,541,655,,86,463,43,160
200710,4884,942,2770,6039,4170,1726,2033,328,1839,2204,1187,655,1838,800,1322,966,666,1453,581,764,,92,533,36,253
200711,4038,744,2470,5923,3351,1684,1945,270,1818,2104,1317,500,1850,664,1022,972,676,1518,591,783,,115,516,52,293
200712,3903,761,1724,5662,1978,1029,1224,228,1619,1136,775,316,1784,538,660,1006,507,1473,440,754,,89,475,29,115
200801,6033,930,2776,6422,3732,1912,2167,355,2006,2133,1388,630,1943,621,1317,1302,579,1755,682,881,,152,515,39,355
200802,4863,838,2197,5712,3217,1549,1627,216,1635,1547,1181,444,1550,559,988,1154,451,1366,642,794,,97,404,40,264
